timestamp = 2016-07-24 17:21:16.020606 ,xAxis = -0.724 ,yAxis = -0.688 ,zAxis = -0.052
timestamp = 2016-07-24 17:21:17.021036 ,xAxis = -0.724 ,yAxis = -0.688 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:18.022775 ,xAxis = -0.716 ,yAxis = -0.692 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:18.019926 ,xAxis = -0.716 ,yAxis = -0.696 ,zAxis = -0.036
timestamp = 2016-07-24 17:21:19.029674 ,xAxis = -0.72 ,yAxis = -0.696 ,zAxis = -0.036
timestamp = 2016-07-24 17:21:20.020072 ,xAxis = -0.72 ,yAxis = -0.696 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:21.020171 ,xAxis = -0.72 ,yAxis = -0.684 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:21.019640 ,xAxis = -0.72 ,yAxis = -0.688 ,zAxis = -0.044
timestamp = 2016-07-24 17:21:22.025442 ,xAxis = -0.724 ,yAxis = -0.692 ,zAxis = -0.052
timestamp = 2016-07-24 17:21:23.021041 ,xAxis = -0.724 ,yAxis = -0.692 ,zAxis = -0.044
timestamp = 2016-07-24 17:21:24.024162 ,xAxis = -0.724 ,yAxis = -0.696 ,zAxis = -0.056
timestamp = 2016-07-24 17:21:24.019857 ,xAxis = -0.724 ,yAxis = -0.688 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:25.020479 ,xAxis = -0.724 ,yAxis = -0.692 ,zAxis = -0.044
timestamp = 2016-07-24 17:21:26.023970 ,xAxis = -0.72 ,yAxis = -0.692 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:27.028946 ,xAxis = -0.72 ,yAxis = -0.692 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:27.019111 ,xAxis = -0.724 ,yAxis = -0.688 ,zAxis = -0.032
timestamp = 2016-07-24 17:21:28.017641 ,xAxis = -0.72 ,yAxis = -0.692 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:29.020864 ,xAxis = -0.728 ,yAxis = -0.688 ,zAxis = -0.052
timestamp = 2016-07-24 17:21:30.020159 ,xAxis = -0.724 ,yAxis = -0.688 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:30.019725 ,xAxis = -0.724 ,yAxis = -0.684 ,zAxis = -0.044
timestamp = 2016-07-24 17:21:31.023225 ,xAxis = -0.72 ,yAxis = -0.688 ,zAxis = -0.044
timestamp = 2016-07-24 17:21:32.023371 ,xAxis = -0.724 ,yAxis = -0.696 ,zAxis = -0.044
timestamp = 2016-07-24 17:21:33.022965 ,xAxis = -0.716 ,yAxis = -0.696 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:33.020411 ,xAxis = -0.724 ,yAxis = -0.692 ,zAxis = -0.04
timestamp = 2016-07-24 17:21:34.021853 ,xAxis = -0.724 ,yAxis = -0.688 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:35.022350 ,xAxis = -0.724 ,yAxis = -0.68 ,zAxis = -0.052
timestamp = 2016-07-24 17:21:36.021323 ,xAxis = -0.72 ,yAxis = -0.688 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:36.017843 ,xAxis = -0.72 ,yAxis = -0.688 ,zAxis = -0.044
timestamp = 2016-07-24 17:21:37.019676 ,xAxis = -0.716 ,yAxis = -0.692 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:38.019649 ,xAxis = -0.72 ,yAxis = -0.688 ,zAxis = -0.04
timestamp = 2016-07-24 17:21:39.033300 ,xAxis = -0.72 ,yAxis = -0.688 ,zAxis = -0.052
timestamp = 2016-07-24 17:21:39.020536 ,xAxis = -0.72 ,yAxis = -0.692 ,zAxis = -0.044
timestamp = 2016-07-24 17:21:40.018541 ,xAxis = -0.716 ,yAxis = -0.692 ,zAxis = -0.056
timestamp = 2016-07-24 17:21:41.022375 ,xAxis = -0.724 ,yAxis = -0.688 ,zAxis = -0.044
timestamp = 2016-07-24 17:21:42.026200 ,xAxis = -0.72 ,yAxis = -0.688 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:42.021598 ,xAxis = -0.724 ,yAxis = -0.696 ,zAxis = -0.044
timestamp = 2016-07-24 17:21:43.034768 ,xAxis = -0.724 ,yAxis = -0.684 ,zAxis = -0.044
timestamp = 2016-07-24 17:21:44.030970 ,xAxis = -0.724 ,yAxis = -0.688 ,zAxis = -0.044
timestamp = 2016-07-24 17:21:45.026202 ,xAxis = -0.716 ,yAxis = -0.692 ,zAxis = -0.04
timestamp = 2016-07-24 17:21:45.018612 ,xAxis = -0.728 ,yAxis = -0.684 ,zAxis = -0.052
timestamp = 2016-07-24 17:21:46.017578 ,xAxis = -0.72 ,yAxis = -0.68 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:47.019750 ,xAxis = -0.72 ,yAxis = -0.688 ,zAxis = -0.044
timestamp = 2016-07-24 17:21:48.022496 ,xAxis = -0.72 ,yAxis = -0.692 ,zAxis = -0.052
timestamp = 2016-07-24 17:21:48.018955 ,xAxis = -0.72 ,yAxis = -0.692 ,zAxis = -0.044
timestamp = 2016-07-24 17:21:49.022029 ,xAxis = -0.724 ,yAxis = -0.688 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:50.022742 ,xAxis = -0.724 ,yAxis = -0.684 ,zAxis = -0.04
timestamp = 2016-07-24 17:21:51.020198 ,xAxis = -0.716 ,yAxis = -0.692 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:51.020454 ,xAxis = -0.724 ,yAxis = -0.692 ,zAxis = -0.032
timestamp = 2016-07-24 17:21:52.018035 ,xAxis = -0.72 ,yAxis = -0.688 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:53.025367 ,xAxis = -0.724 ,yAxis = -0.688 ,zAxis = -0.044
timestamp = 2016-07-24 17:21:54.034123 ,xAxis = -0.724 ,yAxis = -0.692 ,zAxis = -0.044
timestamp = 2016-07-24 17:21:54.024622 ,xAxis = -0.72 ,yAxis = -0.692 ,zAxis = -0.056
timestamp = 2016-07-24 17:21:55.026690 ,xAxis = -0.72 ,yAxis = -0.688 ,zAxis = -0.056
timestamp = 2016-07-24 17:21:56.030322 ,xAxis = -0.716 ,yAxis = -0.684 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:57.038878 ,xAxis = -0.724 ,yAxis = -0.684 ,zAxis = -0.044
timestamp = 2016-07-24 17:21:57.025415 ,xAxis = -0.72 ,yAxis = -0.688 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:58.021360 ,xAxis = -0.724 ,yAxis = -0.688 ,zAxis = -0.044
timestamp = 2016-07-24 17:21:59.025401 ,xAxis = -0.72 ,yAxis = -0.688 ,zAxis = -0.044
timestamp = 2016-07-24 17:22:00.041326 ,xAxis = -0.724 ,yAxis = -0.692 ,zAxis = -0.056
timestamp = 2016-07-24 17:22:00.021611 ,xAxis = -0.72 ,yAxis = -0.688 ,zAxis = -0.036
timestamp = 2016-07-24 17:22:01.021756 ,xAxis = -0.728 ,yAxis = -0.688 ,zAxis = -0.056
timestamp = 2016-07-24 17:22:02.023121 ,xAxis = -0.724 ,yAxis = -0.688 ,zAxis = -0.04
timestamp = 2016-07-24 17:22:03.029828 ,xAxis = -0.724 ,yAxis = -0.696 ,zAxis = -0.048
timestamp = 2016-07-24 17:22:03.029314 ,xAxis = -0.728 ,yAxis = -0.684 ,zAxis = -0.052
timestamp = 2016-07-24 17:22:04.019864 ,xAxis = -0.728 ,yAxis = -0.684 ,zAxis = -0.04
timestamp = 2016-07-24 17:22:05.025582 ,xAxis = -0.72 ,yAxis = -0.688 ,zAxis = -0.044
timestamp = 2016-07-24 17:22:06.023586 ,xAxis = -0.712 ,yAxis = -0.692 ,zAxis = -0.044
timestamp = 2016-07-24 17:22:06.023358 ,xAxis = -0.728 ,yAxis = -0.684 ,zAxis = -0.052
timestamp = 2016-07-24 17:22:07.020976 ,xAxis = -0.716 ,yAxis = -0.688 ,zAxis = -0.044
timestamp = 2016-07-24 17:22:08.027341 ,xAxis = -0.728 ,yAxis = -0.68 ,zAxis = -0.052
timestamp = 2016-07-24 17:22:09.020065 ,xAxis = -0.728 ,yAxis = -0.688 ,zAxis = -0.044
timestamp = 2016-07-24 17:22:09.025267 ,xAxis = -0.72 ,yAxis = -0.688 ,zAxis = -0.056
timestamp = 2016-07-24 17:22:10.029810 ,xAxis = -0.72 ,yAxis = -0.692 ,zAxis = -0.056
timestamp = 2016-07-24 17:22:11.021233 ,xAxis = -0.728 ,yAxis = -0.688 ,zAxis = -0.048
timestamp = 2016-07-24 17:22:12.029401 ,xAxis = -0.728 ,yAxis = -0.692 ,zAxis = -0.044
timestamp = 2016-07-24 17:22:12.018996 ,xAxis = -0.724 ,yAxis = -0.688 ,zAxis = -0.056
timestamp = 2016-07-24 17:22:13.019548 ,xAxis = -0.728 ,yAxis = -0.692 ,zAxis = -0.044
timestamp = 2016-07-24 17:22:14.023436 ,xAxis = -0.72 ,yAxis = -0.684 ,zAxis = -0.052
timestamp = 2016-07-24 17:22:15.021634 ,xAxis = -0.72 ,yAxis = -0.684 ,zAxis = -0.056
